,Movie,Production Budget,Domestic Gross,Worldwide Gross
2819,MOONRISE KINGDOM (2012),16000000.0,45512466.0,68848446.0
2820,MOOZ LUM (2011),1500000.0,362239.0,372239.0
2821,MORBIUS (2022),75000000.0,73793072.0,162686979.0
2822,MORGAN (2016),8000000.0,3915251.0,7298786.0
2823,MORNING GLORY (2010),40000000.0,31011732.0,59795070.0
2824,MORTAL ENGINES (2018),100000000.0,15951040.0,85481904.0
2825,MORTAL KOMBAT (1995),20000000.0,70433227.0,122133227.0
2826,MORTAL KOMBAT (2021),55000000.0,42326031.0,83508259.0
2827,MORTAL KOMBAT ANNIHILATION (1997),30000000.0,35927406.0,51327406.0
2828,MORTDECAI (2015),60000000.0,7696134.0,30396134.0
2829,MORVERN CALLAR (2002),6000000.0,267194.0,267194.0
2830,MOTHER (2017),30000000.0,17800004.0,42531076.0
2831,MOTHER AND CHILD (2010),7000000.0,1110509.0,6537179.0
2832,MOTHER'S DAY (2016),25000000.0,32492859.0,52367022.0
2833,MOTHERHOOD (2009),10000000.0,93388.0,723388.0
2834,MOTHERLESS BROOKLYN (2019),26000000.0,9277736.0,18477276.0
2835,MOULIN ROUGE (2001),53000000.0,57386369.0,179199536.0
2836,MOUSE HUNT (1997),38000000.0,61894591.0,61894591.0
2837,MOVIE 43 (2012),10000000.0,8840453.0,31164747.0
2838,MR 3000 (2004),30000000.0,21800302.0,21827296.0
2839,MR AND MRS SMITH (2005),110000000.0,186336279.0,486124090.0
2840,MR BEAN'S HOLIDAY (2007),25000000.0,33302167.0,234981342.0
2841,MR CHURCH (2016),8000000.0,685780.0,685780.0
2842,MR DEEDS (2002),50000000.0,126293452.0,171269535.0
2843,MR HOLLAND'S OPUS (1995),31000000.0,82582604.0,106282604.0
2844,MR NICE GUY (1998),6000000.0,12716953.0,31716953.0
2845,MR NOBODY (2012),46500000.0,3622.0,22254.0
2846,MR PEABODY AND SHERMAN (2014),145000000.0,111506430.0,269806430.0
2847,MR POPPERS'S PENGUINS (2011),55000000.0,68224452.0,189624452.0
2848,MR SMITH GOES TO WASHINGTON (1939),1500000.0,9000000.0,9000000.0
2849,MR TURNER (2014),14000000.0,3958546.0,25187026.0
2850,MRS DOUBTFIRE (1993),25000000.0,219195051.0,441286003.0
2851,MRS HARRIS GOES TO PARIS (2022),13000000.0,10433915.0,21565915.0
2852,MRS HENDERSON PRESENTS (2005),20000000.0,11036366.0,27836366.0
2853,MRS WINTERBOURNE (1996),25000000.0,10039566.0,10039566.0
2854,MUCH ADO ABOUT NOTHING (1993),8000000.0,22549338.0,22549338.0
2855,MUD (2013),10000000.0,21590086.0,31556959.0
2856,MULAN (1998),90000000.0,120620254.0,303500000.0
2857,MULHOLLAND DRIVE (2001),15000000.0,7219578.0,20780568.0
2858,MULTIPLICITY (1996),45000000.0,20133326.0,20133326.0
2859,MUMFORD (1999),28700000.0,4559569.0,4559569.0
2860,MUNICH (2005),75000000.0,47379090.0,131492772.0
2861,MUPPETS FROM SPACE (1999),24000000.0,16304786.0,16304786.0
2862,MUPPETS MOST WANTED (2014),55000000.0,51178893.0,79312301.0
2863,MURDER BY NUMBERS (2002),50000000.0,31874869.0,56643267.0
2864,MURDER ON THE ORIENT EXPRESS (2017),55000000.0,102826543.0,351767147.0
2865,MURDERBALL (2005),350000.0,1531154.0,1772979.0
2866,MUSIC AND LYRICS (2007),40000000.0,50572589.0,146196885.0
2867,MUST LOVE DOGS (2005),35000000.0,43894863.0,58405313.0
2868,MUSTANG (2015),1400000.0,845464.0,5552584.0
2869,MUTINY ON THE BOUNTY (1962),19000000.0,13680000.0,13680000.0
2870,MUTUAL APPRECIATION (2006),30000.0,103509.0,103509.0
2871,MY ALL AMERICAN (2015),20000000.0,2246000.0,2246000.0
2872,MY BABY'S DADDY (2004),12000000.0,17321573.0,17322212.0
2873,MY BEST FRIEND'S GIRL (2008),20000000.0,19219250.0,34787111.0
2874,MY BEST FRIEND'S WEDDING (1997),46000000.0,126813153.0,298923419.0
2875,MY BIG FAT GREEK WEDDING (2002),5000000.0,241438208.0,374890034.0
2876,MY BIG FAT GREEK WEDDING 2 (2016),18000000.0,59689605.0,92096558.0
2877,MY BIG FAT INDEPENDENT MOVIE (2005),3000000.0,4655.0,4655.0
2878,MY BLOODY VALENTINE (2009),14000000.0,51545952.0,102836002.0
2879,MY BLUEBERRY NIGHTS (2008),10000000.0,866778.0,22198996.0
2880,MY BOSS'S DAUGHTER (2003),14000000.0,15549702.0,15565357.0
2881,MY COUSIN VINNY (1992),11000000.0,52929168.0,52929168.0
2882,MY DATE WITH DREW (2005),1100.0,181041.0,181041.0
2883,MY DINNER WITH ANDRE (1981),475000.0,15063.0,15063.0
2884,MY DOG SKIP (2000),7000000.0,34099640.0,35795319.0
2885,MY DOG TULIP (2010),350000.0,246574.0,310891.0
2886,MY FAIR LADY (1964),17000000.0,72000000.0,72072607.0
2887,MY FAVORITE MARTIAN (1999),60000000.0,36850101.0,36850101.0
2888,MY FELLOW AMERICANS (1996),21500000.0,22331846.0,22331846.0
2889,MY GIRL (1991),16500000.0,58011485.0,58011485.0
2890,MY LIFE IN RUINS (2009),17000000.0,8677425.0,20477425.0
2891,MY LIFE WITHOUT ME (2003),2500000.0,432360.0,12267275.0
2892,MY LITTLE PONY THE MOVIE (2017),6500000.0,21885107.0,61294644.0
2893,MY NAME IS BRUCE (2008),1500000.0,173066.0,173066.0
2894,MY NAME IS KHAN (2010),8470000.0,4046336.0,42355526.0
2895,MY OLD LADY (2014),5000000.0,4011530.0,15220308.0
2896,MY OWN PRIVATE IDAHO (1991),2500000.0,6401336.0,6402775.0
2897,MY SISTER'S KEEPER (2009),27500000.0,49200230.0,96673002.0
2898,MY SOUL TO TAKE (2010),25000000.0,14744435.0,16727470.0
2899,MY STEPMOTHER IS AN ALIEN (1988),16000000.0,13854000.0,13854000.0
2900,MY SUMMER OF LOVE (2005),1700000.0,1000915.0,4727375.0
2901,MY SUPER EX GIRLFRIEND (2006),30000000.0,22530295.0,60772856.0
2902,MY WEEK WITH MARILYN (2011),10000000.0,14597405.0,34240572.0
2903,MYSTERY ALASKA (1999),28000000.0,8891623.0,8891623.0
2904,MYSTERY MEN (1999),68000000.0,29762011.0,33462011.0
2905,MYSTIC PIZZA (1988),6000000.0,12793213.0,12793213.0
2906,MYSTIC RIVER (2003),30000000.0,90135191.0,156822020.0
2907,N SECURE (2010),1600000.0,2595644.0,2595644.0
2908,NACHO LIBRE (2006),32000000.0,80197993.0,99296462.0
2909,NAKED GUN 33 1 3 THE FINAL INSULT (1994),30000000.0,51041856.0,51041856.0
2910,NAMASTEY LONDON (2007),8400000.0,1207007.0,6831069.0
2911,NANCY DREW (2007),20000000.0,25584685.0,30703845.0
2912,NANCY DREW AND THE HIDDEN STAIRCASE (2019),17000000.0,623088.0,624549.0
2913,NANJING NANJING (2009),12000000.0,122558.0,20122558.0
2914,NANNERL LA SOEUR DE MOZART (2011),4500000.0,707885.0,2404639.0
2915,NANNY MCPHEE (2006),25000000.0,47279279.0,128745578.0
2916,NANNY MCPHEE AND THE BIG BANG (2010),35000000.0,29197642.0,97799865.0
2917,NAPOLEON DYNAMITE (2004),400000.0,44540956.0,46122713.0
2918,NARC (2002),7500000.0,10465659.0,11843260.0
2919,NATIONAL CHAMPIONS (2021),9000000.0,475488.0,475488.0
2920,NATIONAL LAMPOON'S ANIMAL HOUSE (1978),3000000.0,141600000.0,141600000.0
2921,NATIONAL LAMPOON'S VACATION (1983),15000000.0,61400000.0,61400000.0
2922,NATIONAL LAMPOON'S VAN WILDER (2002),6000000.0,21305259.0,39241323.0
2923,NATIONAL TREASURE (2004),100000000.0,173005002.0,331323410.0
2924,NATURALLY NATIVE (1999),700000.0,10508.0,10508.0
2925,NE LE DIS A PERSONNE (2008),18500000.0,6198883.0,33954018.0
2926,NEAL N' NIKKI (2005),1300000.0,100358.0,329621.0
2927,NEBRASKA (2013),12000000.0,17654912.0,24761360.0
2928,NEED FOR SPEED (2014),66000000.0,43568507.0,194169619.0
2929,NEIGHBORS (2014),18000000.0,150086800.0,270944428.0
2930,NEIGHBORS 2 SORORITY RISING (2016),35000000.0,55340730.0,108757621.0
2931,NEMESIS (1993),2000000.0,2001124.0,2001124.0
2932,NERVE (2016),20000000.0,38583626.0,85583945.0
2933,NETWORK (1976),3800000.0,23689877.0,23689877.0
2934,NEVER AGAIN (2002),500000.0,307631.0,308793.0
2935,NEVER BACK DOWN (2008),21000000.0,24850922.0,39319801.0
2936,NEVER LET ME GO (2010),15000000.0,2434652.0,11173718.0
2937,NEVER SAY NEVER AGAIN (1983),36000000.0,55500000.0,160000000.0
2938,NEW IN TOWN (2009),8000000.0,16734283.0,29937909.0
2939,NEW YEAR'S EVE (2011),26000000.0,54544638.0,146850273.0
2940,NEW YORK MINUTE (2004),40000000.0,14018364.0,21156715.0
2941,NEW YORK NEW YORK (1977),14000000.0,13800000.0,13800302.0
2942,NEW YORK STORIES (1989),15000000.0,10763469.0,10763469.0
2943,NEWLYWEDS (2012),9000.0,4584.0,4584.0
2944,NEWS OF THE WORLD (2020),38000000.0,12668325.0,12668325.0
2945,NEXT (2007),70000000.0,18211013.0,73591500.0
2946,NEXT DAY AIR (2009),3000000.0,10027047.0,10172519.0
2947,NEXT FRIDAY (2000),9500000.0,57176582.0,59675307.0
